_sentence,_receivers,count_receivers,sentence_id,time,time difference,latitude,longitude,altitude,velocity,acceleration,satellites,temperature_external,pressure,humidity,temperature_internal (raw),temperature_internal (corrected),sentence_id,nofix,time,satellites,temperature_external,pressure,humidity,uptime,temperature_internal
"$$SAM,213,14:24:21,51.934954,-2.484328,1518,12,-2.34,831.23,47.36,7.75*928E",JDL,1,213,14:24:21,0:00:18,51.934954,-2.484328,1518,5.17,-0.27,12,-2.34,831.23,47.36,7.75,7.75,213,,14:24:21,12,-2.34,831.23,47.36,,7.75
"$$SAM,214,14:24:36,51.933686,-2.480845,1603,12,-0.77,821.82,42.25,7.625*EC77",trickv,1,214,14:24:36,0:00:15,51.933686,-2.480845,1603,5.67,0.50,12,-0.77,821.82,42.25,7.625,7.625,214,,14:24:36,12,-0.77,821.82,42.25,,7.625
"$$SAM,221,14:26:34,51.92319,-2.45489,2153,12,-7.63,765.51,35.25,5.125*78E1","G6GZH,trickv",2,221,14:26:34,0:01:58,51.92319,-2.45489,2153,9.48,3.82,12,-7.63,765.51,35.25,5.125,5.125,221,,14:26:34,12,-7.63,765.51,35.25,,5.125
"$$SAM,222,14:26:50,51.921993,-2.451686,2226,12,-8.75,758.37,33.95,4.375*9329",G6GZH,1,222,14:26:50,0:00:16,51.921993,-2.451686,2226,4.56,-4.92,12,-8.75,758.37,33.95,4.375,4.375,222,,14:26:50,12,-8.75,758.37,33.95,,4.375
"$$SAM,223,14:27:08,51.920404,-2.44824,2323,12,-6.71,748.55,32.93,4.375*6AEC","G6GZH,trickv",2,223,14:27:08,0:00:18,51.920404,-2.44824,2323,5.39,0.83,12,-6.71,748.55,32.93,4.375,4.375,223,,14:27:08,12,-6.71,748.55,32.93,,4.375
"$$SAM,224,14:27:24,51.919134,-2.444709,2401,12,-6.59,740.64,31.97,4.25*B6A7","G6GZH,trickv",2,224,14:27:24,0:00:16,51.919134,-2.444709,2401,4.88,-0.51,12,-6.59,740.64,31.97,4.25,4.25,224,,14:27:24,12,-6.59,740.64,31.97,,4.25
"$$SAM,225,14:27:41,51.917989,-2.44134,2490,12,-8.72,730.85,33.11,3.875*2D53",G6GZH,1,225,14:27:41,0:00:17,51.917989,-2.44134,2490,5.24,0.36,12,-8.72,730.85,33.11,3.875,3.875,225,,14:27:41,12,-8.72,730.85,33.11,,3.875
"$$SAM,226,14:27:57,51.917096,-2.437993,2582,12,-8.98,722.33,32.36,3.375*A680",G6GZH,1,226,14:27:57,0:00:16,51.917096,-2.437993,2582,5.75,0.51,12,-8.98,722.33,32.36,3.375,3.375,226,,14:27:57,12,-8.98,722.33,32.36,,3.375
"$$SAM,227,14:28:15,51.916172,-2.434124,2680,12,-8.75,713.15,32.14,3.0*8746",G6GZH,1,227,14:28:15,0:00:18,51.916172,-2.434124,2680,5.44,-0.31,12,-8.75,713.15,32.14,3,3,227,,14:28:15,12,-8.75,713.15,32.14,,3
"$$SAM,228,14:28:31,51.915179,-2.430405,2767,12,-10.85,704.97,32.83,2.625*3A0D",G6GZH,1,228,14:28:31,0:00:16,51.915179,-2.430405,2767,5.44,-0.01,12,-10.85,704.97,32.83,2.625,2.625,228,,14:28:31,12,-10.85,704.97,32.83,,2.625
"$$SAM,229,14:28:48,51.914493,-2.426697,2865,12,-9.52,695.55,31.83,2.375*1659",G6GZH,1,229,14:28:48,0:00:17,51.914493,-2.426697,2865,5.76,0.33,12,-9.52,695.55,31.83,2.375,2.375,229,,14:28:48,12,-9.52,695.55,31.83,,2.375
"$$SAM,230,14:29:06,51.913465,-2.422738,2970,12,-12.34,686.2,30.52,1.75*AE6A","G6GZH,G8KNN",2,230,14:29:06,0:00:18,51.913465,-2.422738,2970,5.83,0.07,12,-12.34,686.2,30.52,1.75,1.75,230,,14:29:06,12,-12.34,686.2,30.52,,1.75
"$$SAM,231,14:29:22,51.91274,-2.419326,3064,12,-11.59,676.9,30.96,1.25*F04E","G8FJG-V,G6GZH",2,231,14:29:22,0:00:16,51.91274,-2.419326,3064,5.88,0.04,12,-11.59,676.9,30.96,1.25,1.25,231,,14:29:22,12,-11.59,676.9,30.96,,1.25
"$$SAM,232,14:29:37,51.911809,-2.415786,3157,12,-14.38,668.42,30.96,0.5*5278","G8FJG-V,G6GZH,G8KNN",3,232,14:29:37,0:00:15,51.911809,-2.415786,3157,6.20,0.33,12,-14.38,668.42,30.96,0.5,0.5,232,,14:29:37,12,-14.38,668.42,30.96,,0.5
"$$SAM,233,14:29:55,51.910511,-2.41181,3258,12,-15.23,659.49,30.59,255.875*DA57","G8KNN,G8FJG-V,G6GZH,G8FJG_azel",4,233,14:29:55,0:00:18,51.910511,-2.41181,3258,5.61,-0.59,12,-15.23,659.49,30.59,255.875,-0.125,233,,14:29:55,12,-15.23,659.49,30.59,,255.875
"$$SAM,234,14:30:13,51.909543,-2.408173,3384,12,-16.01,648.97,29.77,255.25*A017","G8FJG-V,G6GZH,G8FJG_azel",3,234,14:30:13,0:00:18,51.909543,-2.408173,3384,7.00,1.39,12,-16.01,648.97,29.77,255.25,-0.75,234,,14:30:13,12,-16.01,648.97,29.77,,255.25
"$$SAM,235,14:30:30,51.908411,-2.405037,3483,12,-14.45,640.08,29.07,254.875*85D0","G8FJG_azel,G8FJG-V,G6GZH,G8KNN,trickv",5,235,14:30:30,0:00:17,51.908411,-2.405037,3483,5.82,-1.18,12,-14.45,640.08,29.07,254.875,-1.125,235,,14:30:30,12,-14.45,640.08,29.07,,254.875
"$$SAM,236,14:30:48,51.907453,-2.401525,3591,12,-11.85,630.22,25.49,254.75*8E15","G8FJG-V,G8FJG_azel,G8KNN,G6GZH",4,236,14:30:48,0:00:18,51.907453,-2.401525,3591,6.00,0.18,12,-11.85,630.22,25.49,254.75,-1.25,236,,14:30:48,12,-11.85,630.22,25.49,,254.75
"$$SAM,237,14:31:05,51.906433,-2.398107,3698,12,-13.83,620.84,23.38,254.625*4EF9","G8KNN,G8FJG-V,G6GZH,G8FJG_azel",4,237,14:31:05,0:00:17,51.906433,-2.398107,3698,6.29,0.29,12,-13.83,620.84,23.38,254.625,-1.375,237,,14:31:05,12,-13.83,620.84,23.38,,254.625
"$$SAM,238,14:31:23,51.905789,-2.394507,3812,12,-12.75,611.34,22.57,254.25*5C45","G8FJG-V,G8FJG_azel,G8KNN,G6GZH",4,238,14:31:23,0:00:18,51.905789,-2.394507,3812,6.33,0.04,12,-12.75,611.34,22.57,254.25,-1.75,238,,14:31:23,12,-12.75,611.34,22.57,,254.25
"$$SAM,239,14:31:39,51.904866,-2.391259,3923,12,-17.09,602.56,21.63,253.75*F2FB","G8FJG-V,G8FJG_azel,G6GZH,G7SVI",4,239,14:31:39,0:00:16,51.904866,-2.391259,3923,6.94,0.60,12,-17.09,602.56,21.63,253.75,-2.25,239,,14:31:39,12,-17.09,602.56,21.63,,253.75
